Detect Poison,Divination,,1,Priests Spell Compendium Volume 1
Detect Predator,Divination,,1,Priests Spell Compendium Volume 1
Detect Untruth,Divination,,1,Priests Spell Compendium Volume 1
Discern Elven Influence,Divination,,1,Priests Spell Compendium Volume 1
Divining Rod,Divination,,1,Priests Spell Compendium Volume 1
Empathy,Divination,,1,Priests Spell Compendium Volume 1
Find Water,Divination,,1,Priests Spell Compendium Volume 1
Know Faction,Divination,,1,Priests Spell Compendium Volume 2
Know History,Divination,,1,Priests Spell Compendium Volume 2
Omen,Divination,,1,Priests Spell Compendium Volume 2
Read Languages,Divination,,1,Priests Spell Compendium Volume 2
Trance,Divination,,1,Priests Spell Compendium Volume 3
Treasure Scent,Divination,,1,Priests Spell Compendium Volume 3
Detect Metals and Minerals,"Divination, Earth",,1,Priests Spell Compendium Volume 1
Test of Maat,"Divination, Law",Mulhorandi Pantheon,1,Priests Spell Compendium Volume 3
Spectral Senses,"Divination, Necromantic",,1,Priests Spell Compendium Volume 2
Analyze Balance,"Divination, Numbers",,1,Priests Spell Compendium Volume 1
Weathertell,"Divination, Weather",Valkur,1,Priests Spell Compendium Volume 3
Predict Weather,"Divination, Weather",,1,Priests Spell Compendium Volume 2
Seeking Mote,Sun,Chauntea,1,Priests Spell Compendium Volume 2
Dispel Darkness,Sun,Lathander,1,Priests Spell Compendium Volume 1
Cerilian Moonbeam,Sun,Selune,1,Priests Spell Compendium Volume 2
Motes of Moonlight,Sun,Selune,1,Priests Spell Compendium Volume 2
Spark of Blinding,Sun,,1,Priests Spell Compendium Volume 2
Sunscorch,Sun,,1,Priests Spell Compendium Volume 3
Dark Path,"Sun, Travelers",Shar,1,Priests Spell Compendium Volume 1
Sentry of Helm,"Guardian, Travelers",Helm,1,Priests Spell Compendium Volume 2
Dark Path,"Sun, Travelers",Shar,1,Priests Spell Compendium Volume 1
Comforts of Home,Travelers,Halfling,1,Priests Spell Compendium Volume 1
Easy Road,Travelers,,1,Priests Spell Compendium Volume 1
Journey's Orison,Travelers,,1,Priests Spell Compendium Volume 2
Know Direction,Travelers,,1,Priests Spell Compendium Volume 2
Moondance,All,Drow,2,Priests Spell Compendium Volume 2
Mark of Brotherhood,All,Dwarf,2,Priests Spell Compendium Volume 2
Inscribe Speech,All,Oghma,2,Priests Spell Compendium Volume 2
Message Mote,All,Tyr,2,Priests Spell Compendium Volume 2
Chant,All,,2,Priests Spell Compendium Volume 1
Mystic Transfer,All,,2,Priests Spell Compendium Volume 2
Protection from Orisons,All,,2,Priests Spell Compendium Volume 2
Sanctify,All,,2,Priests Spell Compendium Volume 2
Vicissitude,Chaos,Tymora,2,Priests Spell Compendium Volume 3
Chaos Ward,Chaos,,2,Priests Spell Compendium Volume 1
Dissension's Feast,Chaos,,2,Priests Spell Compendium Volume 1
Shark Charm,"Animal, Charm",Elf,2,Priests Spell Compendium Volume 2
Snake Charm,"Animal, Charm",,2,Priests Spell Compendium Volume 2
Attraction,Charm,Cyric,2,Priests Spell Compendium Volume 1
Merchant's Glamer,Charm,Dwarf,2,Priests Spell Compendium Volume 2
Gull,Charm,Gnome,2,Priests Spell Compendium Volume 2
Beguiling,Charm,Ilmater,2,Priests Spell Compendium Volume 1
Bliss,Charm,Lliira,2,Priests Spell Compendium Volume 1
Blood Lust,Charm,Malar,2,Priests Spell Compendium Volume 1
Ela's Accounts,Charm,Mask,2,Priests Spell Compendium Volume 1
Crocodile Tears,Charm,Mulhorandi Pantheon,2,Priests Spell Compendium Volume 1
Ghost Pipes,Charm,Oghma,2,Priests Spell Compendium Volume 2
Lionheart,Charm,Sharess,2,Priests Spell Compendium Volume 2
Free Will,Charm,Silvanus,2,Priests Spell Compendium Volume 1
Swim,Charm,Valkur,2,Priests Spell Compendium Volume 3
Renewed Ability,Charm,,2,Priests Spell Compendium Volume 2
Siren Song,Charm,,2,Priests Spell Compendium Volume 2
Battle Song,"Charm, Combat",Milil,2,Priests Spell Compendium Volume 1
Detect Charm,"Charm, Divination",,2,Priests Spell Compendium Volume 1
Unquestioning Obedience,"Charm, Law",Tyr,2,Priests Spell Compendium Volume 3
Enthrall,"Charm, Law",,2,Priests Spell Compendium Volume 1
Hold Person,"Charm, Law",,2,Priests Spell Compendium Volume 2
Music of the Spheres,"Charm, Numbers",,2,Priests Spell Compendium Volume 2
Protection from Charm,"Charm, Protection",,2,Priests Spell Compendium Volume 2
Wieldskill,"Charm, Thought",Gond,2,Priests Spell Compendium Volume 3
Enchant Runestones,Creation,Dwarf,2,Priests Spell Compendium Volume 1
Amulet,Creation,Shaman,2,Priests Spell Compendium Volume 1
Holy Symbol,Creation,,2,Priests Spell Compendium Volume 2
Maskstone,Guardian,Dwarf,2,Priests Spell Compendium Volume 2
Iron Vigil,Guardian,,2,Priests Spell Compendium Volume 2
"Silence, 15-ft. Radius",Guardian,,2,Priests Spell Compendium Volume 2
Wyvern Watch,Guardian,,2,Priests Spell Compendium Volume 3
Rosewater,Healing,Lathander,2,Priests Spell Compendium Volume 2
Cure Moderate Wounds,Healing,,2,Priests Spell Compendium Volume 1
Fortifying Stew,Healing,,2,Priests Spell Compendium Volume 1
Slow Poison,Healing,,2,Priests Spell Compendium Volume 2
Cure Scurvy,"Healing, Necromantic",Valkur,2,Priests Spell Compendium Volume 1
Protection from Charm,"Charm, Protection",,2,Priests Spell Compendium Volume 2
Manythorns,"Combat, Protection",Silvanus,2,Priests Spell Compendium Volume 2
Brightmantle,Protection,Dwarf,2,Priests Spell Compendium Volume 1
Disentangle,Protection,Dwarf,2,Priests Spell Compendium Volume 1
Rosetouch,Protection,Lathander,2,Priests Spell Compendium Volume 2
Moon Shield,Protection,Selune,2,Priests Spell Compendium Volume 2
Favor of Tymora,Protection,Tymora,2,Priests Spell Compendium Volume 1
Death Prayer,Protection,,2,Priests Spell Compendium Volume 1
Priest Lock,Protection,,2,Priests Spell Compendium Volume 2
Protection from Spirits,Protection,,2,Priests Spell Compendium Volume 2
Resist Acid and Corrosion,Protection,,2,Priests Spell Compendium Volume 2
Resist Fire/Cold,Protection,,2,Priests Spell Compendium Volume 2
Steep Soma-Juice,Protection,,2,Priests Spell Compendium Volume 3
Withdraw,Protection,,2,Priests Spell Compendium Volume 3
Protection from Aging,"Protection, Time",Elf,2,Priests Spell Compendium Volume 2
Wieldskill,"Charm, Thought",Gond,2,Priests Spell Compendium Volume 3
Augment Psionics,Thought,Dwarf,2,Priests Spell Compendium Volume 1
Alert Allies,Thought,"Dwarf, Gnome",2,Priests Spell Compendium Volume 1
Impart Knowledge,Thought,Oghma,2,Priests Spell Compendium Volume 2
Detect Psionic Use,Thought,,2,Priests Spell Compendium Volume 1
Idea,Thought,,2,Priests Spell Compendium Volume 2
Know Intent,Thought,,2,Priests Spell Compendium Volume 2
Mind Read,Thought,,2,Priests Spell Compendium Volume 2
Ethereal Barrier,"Astral, Wards",,2,Priests Spell Compendium Volume 1
Dispel Ward,Wards,Mulhorandi Pantheon,2,Priests Spell Compendium Volume 1
Ancestral Blessing,Wards,Shaman,2,Priests Spell Compendium Volume 1
Circle of Protection from Spirits,Wards,Shaman,2,Priests Spell Compendium Volume 1
Frisky Chest,Wards,,2,Priests Spell Compendium Volume 1
Zone of Deception,Wards,,2,Priests Spell Compendium Volume 3
Zone of Truth,Wards,,2,Priests Spell Compendium Volume 3
Horns of Hathor,"Animal, Combat",Mulhorandi Pantheon,2,Priests Spell Compendium Volume 2
Boneiron,"Animal, Combat",Shaman,2,Priests Spell Compendium Volume 1
Battle Song,"Charm, Combat",Milil,2,Priests Spell Compendium Volume 1
Bane of Beshaba,Combat,Beshaba,2,Priests Spell Compendium Volume 1
Blessing of Vhaeraun,Combat,Drow,2,Priests Spell Compendium Volume 1
Haela's Battle Blessing,Combat,Dwarf,2,Priests Spell Compendium Volume 2
Hurl Rock,Combat,Dwarf,2,Priests Spell Compendium Volume 2
Rockburst,Combat,Dwarf,2,Priests Spell Compendium Volume 2
Faith Arrow,Combat,Elf,2,Priests Spell Compendium Volume 1
Keen Eye,Combat,Elf,2,Priests Spell Compendium Volume 2
Seeking,Combat,Elf,2,Priests Spell Compendium Volume 2
Edge of Arumdina,Combat,Gnome,2,Priests Spell Compendium Volume 1
Weapon Shift,Combat,Halfling,2,Priests Spell Compendium Volume 3
Fist of Faith,Combat,Helm,2,Priests Spell Compendium Volume 1
Fangs of Retribution,Combat,Ilmater,2,Priests Spell Compendium Volume 1
Mace of Xvim,Combat,Iyachtu Xvim,2,Priests Spell Compendium Volume 2
Body Blades,Combat,Loviatar,2,Priests Spell Compendium Volume 1
Loviatar's Caress,Combat,Loviatar,2,Priests Spell Compendium Volume 2
Whip of Flame,Combat,Loviatar,2,Priests Spell Compendium Volume 3
Alicorn Lance,Combat,Mielikki,2,Priests Spell Compendium Volume 1
Wood Sword,Combat,Mielikki,2,Priests Spell Compendium Volume 3
Jaws of the Wolf,Combat,Silvanus,2,Priests Spell Compendium Volume 2
Love Bite,Combat,Sune,2,Priests Spell Compendium Volume 2
Speeding Trident,Combat,Umberlee,2,Priests Spell Compendium Volume 2
Arm Hammers,Combat,,2,Priests Spell Compendium Volume 1
Enhance Turning,Combat,,2,Priests Spell Compendium Volume 1
Gloom,Combat,,2,Priests Spell Compendium Volume 2
Spiritual Hammer,Combat,,2,Priests Spell Compendium Volume 3
Darkfire of Beshaba,"Combat, Necromantic",Beshaba,2,Priests Spell Compendium Volume 1
Bone Bite,"Combat, Necromantic",Cyric,2,Priests Spell Compendium Volume 1
Chilling Scythe,"Combat, Necromantic",Kelemvor,2,Priests Spell Compendium Volume 1
Beast Claw,"Combat, Necromantic",Malar,2,Priests Spell Compendium Volume 1
Handfang,"Combat, Necromantic",Talona,2,Priests Spell Compendium Volume 2
Poison Touch,"Combat, Necromantic",Talona,2,Priests Spell Compendium Volume 2
Wolfjaws,"Combat, Necromantic",Tyr,2,Priests Spell Compendium Volume 3
Aid,"Combat, Necromantic",,2,Priests Spell Compendium Volume 1
Touchsickle,"Combat, Plant",Eldath,2,Priests Spell Compendium Volume 3
Bonewood,"Combat, Plant",Shaman,2,Priests Spell Compendium Volume 1
Manythorns,"Combat, Protection",Silvanus,2,Priests Spell Compendium Volume 2
Frost Breath,"Combat, Water",Auril,2,Priests Spell Compendium Volume 1
Frost Whip,"Combat, Weather",Auril,2,Priests Spell Compendium Volume 1
Speak with Sea Creatures,"Animal, Divination",Valkur,2,Priests Spell Compendium Volume 2
Bat Sense,"Animal, Divination",,2,Priests Spell Compendium Volume 1
Speak with Animals,"Animal, Divination",,2,Priests Spell Compendium Volume 2
Detect Charm,"Charm, Divination",,2,Priests Spell Compendium Volume 1
Glyph of Revealing,Divination,Deneir,2,Priests Spell Compendium Volume 2
Mindtouch,Divination,Drow,2,Priests Spell Compendium Volume 2
Detect Enemies,Divination,Dwarf,2,Priests Spell Compendium Volume 1
Marthamor's Intuition,Divination,Dwarf,2,Priests Spell Compendium Volume 2
Impenetrable Falsehood,Divination,Leira,2,Priests Spell Compendium Volume 2
Death Candle,Divination,Shaman,2,Priests Spell Compendium Volume 1
Sense Spirit,Divination,Shaman,2,Priests Spell Compendium Volume 2
Understand Curse,Divination,Shaman,2,Priests Spell Compendium Volume 3
Augury,Divination,,2,Priests Spell Compendium Volume 1
Commune with Lesser Spirits,Divination,,2,Priests Spell Compendium Volume 1
Death Talisman,Divination,,2,Priests Spell Compendium Volume 1
Detect Life,Divination,,2,Priests Spell Compendium Volume 1
Find Traps,Divination,,2,Priests Spell Compendium Volume 1
Know Alignment,Divination,,2,Priests Spell Compendium Volume 2
Know Language,Divination,,2,Priests Spell Compendium Volume 2
Tracking,Divination,,2,Priests Spell Compendium Volume 3
Translate,Divination,,2,Priests Spell Compendium Volume 3
Warning,Divination,,2,Priests Spell Compendium Volume 3
Warp Sense,Divination,,2,Priests Spell Compendium Volume 3
Hear Heartbeat,"Divination, Necromantic",,2,Priests Spell Compendium Volume 2
Eilistaee's Moonfire,Sun,Drow,2,Priests Spell Compendium Volume 1
Infrainvisibility,Sun,Elf,2,Priests Spell Compendium Volume 2
Create Mirage,Sun,,2,Priests Spell Compendium Volume 1
Stalk,"Animal, Travelers",Mielikki,2,Priests Spell Compendium Volume 3
Charm of Brandobaris,Travelers,Halfling,2,Priests Spell Compendium Volume 1
Favor of Shaundakul,Travelers,Shaundakul,2,Priests Spell Compendium Volume 1
Aura of Confort,Travelers,,2,Priests Spell Compendium Volume 1
Dark Fire,Travelers,,2,Priests Spell Compendium Volume 1
Lighten Load,Travelers,,2,Priests Spell Compendium Volume 2
Pass Without Notice,Travelers,,2,Priests Spell Compendium Volume 2
Home Port,All,Valkur,3,Priests Spell Compendium Volume 2
Bestow Minor Curse,All,,3,Priests Spell Compendium Volume 1
Circle of Secrets,All,,3,Priests Spell Compendium Volume 1
Dispel Magic,All,,3,Priests Spell Compendium Volume 1
Oath,All,,3,Priests Spell Compendium Volume 2
Remove Curse,All,,3,Priests Spell Compendium Volume 2
Conjure Lesser Elemental,Elemental (All),,3,Priests Spell Compendium Volume 1
Miscast Magic,Chaos,,3,Priests Spell Compendium Volume 2
Random Casualty,Chaos,,3,Priests Spell Compendium Volume 2
Spliff's Wonder Bubbles,Chaos,,3,Priests Spell Compendium Volume 3
Ela's Blessing,Charm,Mask,3,Priests Spell Compendium Volume 1
Intensify Sensation,Charm,Sharess,3,Priests Spell Compendium Volume 2
Rapture,Charm,Sune,3,Priests Spell Compendium Volume 2
Loyal Vassal,Charm,Tyr,3,Priests Spell Compendium Volume 2
Compel,Charm,,3,Priests Spell Compendium Volume 1
Song of Compulsion,"Charm, Law",Milil,3,Priests Spell Compendium Volume 2
Dictate,"Charm, Law",,3,Priests Spell Compendium Volume 1
Lure,"Charm, Necromantic",Sune,3,Priests Spell Compendium Volume 2
Emotion Control,"Charm, Thought",,3,Priests Spell Compendium Volume 1
Glowglory,"Combat, Creation",Dwarf,3,Priests Spell Compendium Volume 2
Holy Flail,"Combat, Creation",Tempus,3,Priests Spell Compendium Volume 2
Amanuensis,Creation,Deneir,3,Priests Spell Compendium Volume 1
Lesser Spellsong,Creation,Drow,3,Priests Spell Compendium Volume 2
Spellweb,Creation,Drow,3,Priests Spell Compendium Volume 2
Blessed Craftsmanship,Creation,Dwarf,3,Priests Spell Compendium Volume 1
Ability Alteration,Creation,,3,Priests Spell Compendium Volume 1
Create Food and Water,Creation,,3,Priests Spell Compendium Volume 1
Substitution,Creation,,3,Priests Spell Compendium Volume 3
Shift Glyph,"Creation, Divination",Deneir,3,Priests Spell Compendium Volume 2
Continual Light,"Creation, Guardian, Sun",,3,Priests Spell Compendium Volume 1
Continual Light,"Creation, Guardian, Sun",,3,Priests Spell Compendium Volume 1
Lesser Guardian Hammer,Guardian,Dwarf,3,Priests Spell Compendium Volume 2
Stealth of Brandobaris,Guardian,Halfling,3,Priests Spell Compendium Volume 3
Glyph of Warding: Telatha,Guardian,Lathander,3,Priests Spell Compendium Volume 2
Glyph of Warding,Guardian,,3,Priests Spell Compendium Volume 2
Exaltation,"Combat, Healing",Helm,3,Priests Spell Compendium Volume 1
Merciful Touch,Healing,Elf,3,Priests Spell Compendium Volume 2
Slow Boon,Healing,Ilmater,3,Priests Spell Compendium Volume 2
Ease Labor,Healing,Mielikki,3,Priests Spell Compendium Volume 1
Revive Spirit,Healing,Shaman,3,Priests Spell Compendium Volume 2
Hold Poison,Healing,,3,Priests Spell Compendium Volume 2
Repair Injury,Healing,,3,Priests Spell Compendium Volume 2
Cure Blindness or Deafness,"Healing, Necromantic",,3,Priests Spell Compendium Volume 1
Cure Disease,"Healing, Necromantic",,3,Priests Spell Compendium Volume 1
Renewed Youth,"Healing, Time",Elf,3,Priests Spell Compendium Volume 2
Protection from Winds,"Air, Protection",,3,Priests Spell Compendium Volume 2
Protection from Earth,"Earth, Protection",,3,Priests Spell Compendium Volume 2
Laughing Water,"Necromantic, Protection",Eldath,3,Priests Spell Compendium Volume 2
Favor of Ilmater,"Necromantic, Protection",Ilmater,3,Priests Spell Compendium Volume 1
Turnbane,"Necromantic, Protection",Iyachtu Xvim,3,Priests Spell Compendium Volume 3
Negative Plane Protection,"Necromantic, Protection",,3,Priests Spell Compendium Volume 2
Remove Paralysis,"Necromantic, Protection",,3,Priests Spell Compendium Volume 2
Conceal Item,Protection,Drow,3,Priests Spell Compendium Volume 1
Venom Immunity,Protection,Drow,3,Priests Spell Compendium Volume 3
Archer's Redoubt,Protection,Elf,3,Priests Spell Compendium Volume 1
Mental Prowess,Protection,Helm,3,Priests Spell Compendium Volume 2
Embattlement,Protection,Ilmater,3,Priests Spell Compendium Volume 1
Mirror Vestments,Protection,Lathander,3,Priests Spell Compendium Volume 2
Cham of Isis,Protection,Mulhorandi Pantheon,3,Priests Spell Compendium Volume 1
Spell Shield of Mystra,Protection,Mystra,3,Priests Spell Compendium Volume 2
Cleanse Hearth,Protection,Shaman,3,Priests Spell Compendium Volume 1
Transfer Offense,Protection,Shaman,3,Priests Spell Compendium Volume 3
Fostered Protection,Protection,,3,Priests Spell Compendium Volume 1
Hold Undead,Protection,,3,Priests Spell Compendium Volume 2
Inkjet,Protection,,3,Priests Spell Compendium Volume 2
Invisibility to Spirits,Protection,,3,Priests Spell Compendium Volume 2
Line of Protection,Protection,,3,Priests Spell Compendium Volume 2
Magical Vestment,Protection,,3,Priests Spell Compendium Volume 2
Protection from Amorphs,Protection,,3,Priests Spell Compendium Volume 2
Resist Injury,Protection,,3,Priests Spell Compendium Volume 2
Wind and Rain Protection,Protection,,3,Priests Spell Compendium Volume 3
Shadowcloak,"Protection, Sun",Mask,3,Priests Spell Compendium Volume 2
Armor of Darkness,"Protection, Sun",Shar,3,Priests Spell Compendium Volume 1
Storm Shield,"Protection, Weather",Talos,3,Priests Spell Compendium Volume 3
Emotion Control,"Charm, Thought",,3,Priests Spell Compendium Volume 1
Memory Read,Thought,,3,Priests Spell Compendium Volume 2
Telepathy,Thought,,3,Priests Spell Compendium Volume 3
Zone of Sweet Air,"Air, Wards",,3,Priests Spell Compendium Volume 3
Forceward,Wards,Helm,3,Priests Spell Compendium Volume 1
Thief's Lament,Wards,Silvanus,3,Priests Spell Compendium Volume 3
Efficacious Monster Ward,Wards,,3,Priests Spell Compendium Volume 1
Invisibility Purge,Wards,,3,Priests Spell Compendium Volume 2
Squeaking Floor,Wards,,3,Priests Spell Compendium Volume 3
Bladedance,Combat,Drow,3,Priests Spell Compendium Volume 1
Marthamor's Thunderbolt,Combat,Dwarf,3,Priests Spell Compendium Volume 2
Everfull Quiver,Combat,Elf,3,Priests Spell Compendium Volume 1
Sprite Venom,Combat,Elf,3,Priests Spell Compendium Volume 3
Depress Resistance,Combat,"Elf, Gnome",3,Priests Spell Compendium Volume 1
Gembomb,Combat,Gnome,3,Priests Spell Compendium Volume 2
Ruby Axe,Combat,Gnome,3,Priests Spell Compendium Volume 2
Humansize,Combat,Halfling,3,Priests Spell Compendium Volume 2
Sparkling Sword,Combat,Halfling,3,Priests Spell Compendium Volume 2
Mace of Odo,Combat,Helm,3,Priests Spell Compendium Volume 2
Bird of Prey,Combat,Hoar,3,Priests Spell Compendium Volume 1
Blackhand,Combat,Iyachtu Xvim,3,Priests Spell Compendium Volume 1
Chant of Fangs,Combat,Malar,3,Priests Spell Compendium Volume 1
Dispel Silence,Combat,Milil,3,Priests Spell Compendium Volume 1
Chill,Combat,Mulhorandi Pantheon,3,Priests Spell Compendium Volume 1
Knight's Move,Combat,Tempus,3,Priests Spell Compendium Volume 2
Boon of Fortune,Combat,Tymora,3,Priests Spell Compendium Volume 1
Castigate,Combat,,3,Priests Spell Compendium Volume 1
Dismiss Undead,Combat,,3,Priests Spell Compendium Volume 1
Frenzy of the Celts,Combat,,3,Priests Spell Compendium Volume 1
Prayer,Combat,,3,Priests Spell Compendium Volume 2
Reverse Fossilization,Combat,,3,Priests Spell Compendium Volume 2
Unearthly Choir,Combat,,3,Priests Spell Compendium Volume 3
Glowglory,"Combat, Creation",Dwarf,3,Priests Spell Compendium Volume 2
Holy Flail,"Combat, Creation",Tempus,3,Priests Spell Compendium Volume 2
Exaltation,"Combat, Healing",Helm,3,Priests Spell Compendium Volume 1
Whip of Pain,"Combat, Necromantic",Loviatar,3,Priests Spell Compendium Volume 3
Wheat into Blade,"Combat, Plant",Chauntea,3,Priests Spell Compendium Volume 3
Eye of Fire,"Combat, Sun",Mulhorandi Pantheon,3,Priests Spell Compendium Volume 1
Moon Blade,"Combat, Sun",Selune,3,Priests Spell Compendium Volume 2
Blacklight,"Combat, Sun",Shar,3,Priests Spell Compendium Volume 1
Shadow Sword,"Combat, Sun",Shaundakul,3,Priests Spell Compendium Volume 2
Ice Spikes,"Combat, Water",Auril,3,Priests Spell Compendium Volume 2
Nature's Eyes,"Animal, Divination",Gnome,3,Priests Spell Compendium Volume 2
Converse with Sea Creatures,"Animal, Divination",,3,Priests Spell Compendium Volume 1
Shift Glyph,"Creation, Divination",Deneir,3,Priests Spell Compendium Volume 2
Haunted Visions,Divination,Azuth,3,Priests Spell Compendium Volume 2
Abbathor's Greed,Divination,Dwarf,3,Priests Spell Compendium Volume 1
Detect Spirits,Divination,Elf,3,Priests Spell Compendium Volume 1
